epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,4.146114,0.897648,4.53587,0.90089,
001,4.147457,0.896641,4.53587,0.90089,
001,4.142925,0.895984,4.53587,0.90089,
001,4.141523,0.895590,4.53587,0.90089,
002,3.211462,0.747274,5.91763,0.87063,
002,3.220039,0.749135,5.91763,0.87063,
002,3.211913,0.748062,5.91763,0.87063,
002,3.220955,0.751916,5.91763,0.87063,
003,2.811556,0.675032,5.97443,0.87910,
003,2.812696,0.673039,5.97443,0.87910,
003,2.804281,0.673324,5.97443,0.87910,
003,2.811394,0.676477,5.97443,0.87910,
004,2.563246,0.628192,3.89022,0.77289,
004,2.568190,0.629659,3.89022,0.77289,
004,2.579664,0.631170,3.89022,0.77289,
004,2.570663,0.630469,3.89022,0.77289,
005,2.406544,0.597447,6.23316,0.84264,
005,2.398252,0.596461,6.23316,0.84264,
005,2.399312,0.595366,6.23316,0.84264,
005,2.410230,0.597753,6.23316,0.84264,
006,2.274584,0.570621,4.50034,0.81661,
006,2.289681,0.579052,4.50034,0.81661,
006,2.286214,0.575811,4.50034,0.81661,
006,2.268999,0.571629,4.50034,0.81661,
007,2.183018,0.555293,5.62666,0.84824,
007,2.184112,0.552928,5.62666,0.84824,
007,2.174037,0.552161,5.62666,0.84824,
007,2.192246,0.556497,5.62666,0.84824,
008,2.105233,0.539395,6.48550,0.81268,
008,2.092393,0.534928,6.48550,0.81268,
008,2.102075,0.540030,6.48550,0.81268,
008,2.099991,0.535431,6.48550,0.81268,
009,2.023945,0.520212,5.36459,0.85414,
009,2.018283,0.518876,5.36459,0.85414,
009,2.035443,0.524789,5.36459,0.85414,
009,2.037251,0.523628,5.36459,0.85414,
010,1.966270,0.508584,4.75030,0.78030,
010,1.955259,0.505146,4.75030,0.78030,
010,1.972283,0.511628,4.75030,0.78030,
010,1.965525,0.507402,4.75030,0.78030,
011,1.915278,0.499277,6.35575,0.86473,
011,1.910992,0.496912,6.35575,0.86473,
011,1.891942,0.492993,6.35575,0.86473,
011,1.902890,0.495708,6.35575,0.86473,
012,1.850468,0.485503,5.82329,0.84597,
012,1.837208,0.479657,5.82329,0.84597,
012,1.852760,0.484277,5.82329,0.84597,
012,1.862553,0.486292,5.82329,0.84597,
013,1.805753,0.473788,7.95476,0.87699,
013,1.801630,0.473219,7.95476,0.87699,
013,1.794535,0.472102,7.95476,0.87699,
013,1.804761,0.475759,7.95476,0.87699,
014,1.755072,0.463036,6.12739,0.86064,
014,1.756462,0.461656,6.12739,0.86064,
014,1.763065,0.463999,6.12739,0.86064,
014,1.765401,0.466912,6.12739,0.86064,
015,1.719511,0.456226,6.79108,0.79936,
015,1.716277,0.456488,6.79108,0.79936,
015,1.711704,0.452393,6.79108,0.79936,
015,1.703393,0.450904,6.79108,0.79936,
016,1.661783,0.442277,6.36474,0.78983,
016,1.669214,0.443152,6.36474,0.78983,
016,1.667257,0.443700,6.36474,0.78983,
016,1.669122,0.443766,6.36474,0.78983,
017,1.630396,0.436846,5.78831,0.78605,
017,1.637714,0.437459,5.78831,0.78605,
017,1.619483,0.433342,5.78831,0.78605,
017,1.630791,0.435401,5.78831,0.78605,
018,1.585264,0.425568,5.55128,0.76260,
018,1.589379,0.425459,5.55128,0.76260,
018,1.588166,0.426510,5.55128,0.76260,
018,1.596049,0.426773,5.55128,0.76260,
019,1.553431,0.417992,5.41215,0.77576,
019,1.558040,0.417685,5.41215,0.77576,
019,1.554679,0.415232,5.41215,0.77576,
019,1.561164,0.421079,5.41215,0.77576,
020,1.518406,0.410196,7.04154,0.82009,
020,1.525622,0.407896,7.04154,0.82009,
020,1.524565,0.411291,7.04154,0.82009,
020,1.520502,0.408444,7.04154,0.82009,
021,1.495137,0.402838,6.66485,0.84173,
021,1.495583,0.402969,6.66485,0.84173,
021,1.494713,0.403035,6.66485,0.84173,
021,1.491734,0.401896,6.66485,0.84173,
022,1.466639,0.396575,4.58866,0.73521,
022,1.469537,0.397692,4.58866,0.73521,
022,1.468736,0.396794,4.58866,0.73521,
022,1.455020,0.393553,4.58866,0.73521,
023,1.422448,0.387268,5.79306,0.82282,
023,1.437040,0.389612,5.79306,0.82282,
023,1.433437,0.387663,5.79306,0.82282,
023,1.431546,0.389524,5.79306,0.82282,
024,1.401917,0.381049,5.69853,0.78227,
024,1.405275,0.383962,5.69853,0.78227,
024,1.401384,0.379911,5.69853,0.78227,
024,1.403225,0.381203,5.69853,0.78227,
025,1.382424,0.376385,5.37150,0.76139,
025,1.377608,0.375925,5.37150,0.76139,
025,1.382196,0.377589,5.37150,0.76139,
025,1.388035,0.378487,5.37150,0.76139,
026,1.361167,0.372772,4.86428,0.75624,
026,1.355766,0.370692,4.86428,0.75624,
026,1.363309,0.370035,4.86428,0.75624,
026,1.363573,0.371765,4.86428,0.75624,
027,1.346118,0.368327,8.20538,0.87714,
027,1.337403,0.366290,8.20538,0.87714,
027,1.344635,0.368918,8.20538,0.87714,
027,1.339233,0.366290,8.20538,0.87714,
028,1.313070,0.359786,5.75859,0.80602,
028,1.321503,0.360378,5.75859,0.80602,
028,1.320526,0.360224,5.75859,0.80602,
028,1.310571,0.360071,5.75859,0.80602,
029,1.308336,0.358648,5.17170,0.78378,
029,1.300180,0.357312,5.17170,0.78378,
