epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,3.904877,0.860384,9.92037,0.93034,
001,3.894505,0.861787,9.92037,0.93034,
001,3.905476,0.863488,9.92037,0.93034,
001,3.899368,0.862844,9.92037,0.93034,
002,2.889505,0.695710,5.56521,0.86778,
002,2.891112,0.695319,5.56521,0.86778,
002,2.893976,0.696975,5.56521,0.86778,
002,2.893285,0.697756,5.56521,0.86778,
003,2.493521,0.623891,5.92267,0.84514,
003,2.494236,0.620350,5.92267,0.84514,
003,2.487216,0.621638,5.92267,0.84514,
003,2.491532,0.620787,5.92267,0.84514,
004,2.263846,0.579268,3.42103,0.73705,
004,2.266173,0.576348,3.42103,0.73705,
004,2.269939,0.579222,3.42103,0.73705,
004,2.267468,0.574946,3.42103,0.73705,
005,2.117891,0.551474,3.97805,0.76342,
005,2.120003,0.546117,3.97805,0.76342,
005,2.118832,0.545795,3.97805,0.76342,
005,2.108749,0.546554,3.97805,0.76342,
006,2.002557,0.525472,4.69740,0.81371,
006,2.015404,0.528300,4.69740,0.81371,
006,2.008692,0.525082,4.69740,0.81371,
006,2.004793,0.521472,4.69740,0.81371,
007,1.918744,0.506851,5.52238,0.81490,
007,1.918707,0.504966,5.52238,0.81490,
007,1.920412,0.504943,5.52238,0.81490,
007,1.910350,0.503127,5.52238,0.81490,
008,1.837742,0.488045,4.14544,0.77355,
008,1.841879,0.487103,4.14544,0.77355,
008,1.843002,0.491126,4.14544,0.77355,
008,1.845962,0.491931,4.14544,0.77355,
009,1.778069,0.475861,3.94456,0.74778,
009,1.763948,0.473309,3.94456,0.74778,
009,1.771655,0.473976,3.94456,0.74778,
009,1.776005,0.476597,3.94456,0.74778,
010,1.709263,0.460803,4.41429,0.77995,
010,1.716221,0.462481,4.41429,0.77995,
010,1.714357,0.464366,4.41429,0.77995,
010,1.707814,0.458573,4.41429,0.77995,
011,1.652053,0.448205,5.92989,0.80810,
011,1.659448,0.449377,5.92989,0.80810,
011,1.657364,0.448434,5.92989,0.80810,
011,1.655215,0.451170,5.92989,0.80810,
012,1.608952,0.438204,6.87790,0.80666,
012,1.598295,0.436112,6.87790,0.80666,
012,1.604600,0.438526,6.87790,0.80666,
012,1.601686,0.435514,6.87790,0.80666,
013,1.549210,0.422548,4.45387,0.74391,
013,1.549207,0.422870,4.45387,0.74391,
013,1.555751,0.425307,4.45387,0.74391,
013,1.553890,0.426295,4.45387,0.74391,
014,1.509471,0.415100,4.13330,0.73661,
014,1.503608,0.412387,4.13330,0.73661,
014,1.499559,0.413122,4.13330,0.73661,
014,1.501212,0.412111,4.13330,0.73661,
015,1.455421,0.402041,4.92560,0.83124,
015,1.442568,0.399076,4.92560,0.83124,
015,1.465825,0.404593,4.92560,0.83124,
015,1.456551,0.402823,4.92560,0.83124,
016,1.402888,0.389558,3.53504,0.72410,
016,1.404651,0.390294,3.53504,0.72410,
016,1.403487,0.390731,3.53504,0.72410,
016,1.416976,0.392409,3.53504,0.72410,
017,1.365472,0.380707,4.05096,0.77389,
017,1.366920,0.381811,4.05096,0.77389,
017,1.377442,0.384661,4.05096,0.77389,
017,1.355241,0.380845,4.05096,0.77389,
018,1.325471,0.372684,4.22900,0.77315,
018,1.320471,0.369718,4.22900,0.77315,
018,1.331982,0.371718,4.22900,0.77315,
018,1.333687,0.373511,4.22900,0.77315,
019,1.289443,0.362821,3.44768,0.68810,
019,1.292232,0.361373,3.44768,0.68810,
019,1.278804,0.361833,3.44768,0.68810,
019,1.298805,0.363304,3.44768,0.68810,
020,1.259200,0.352936,4.35489,0.78224,
020,1.258960,0.355832,4.35489,0.78224,
020,1.256102,0.354016,4.35489,0.78224,
020,1.251865,0.355580,4.35489,0.78224,
021,1.225049,0.346844,4.26019,0.73457,
021,1.216506,0.345993,4.26019,0.73457,
021,1.236837,0.349005,4.26019,0.73457,
021,1.225742,0.348338,4.26019,0.73457,
022,1.196202,0.340636,5.26024,0.78060,
022,1.198353,0.342223,5.26024,0.78060,
022,1.186888,0.338544,5.26024,0.78060,
022,1.197796,0.341349,5.26024,0.78060,
023,1.158485,0.333533,4.17600,0.76153,
023,1.172478,0.332659,4.17600,0.76153,
023,1.166811,0.332015,4.17600,0.76153,
023,1.167403,0.333372,4.17600,0.76153,
024,1.136496,0.325831,4.73510,0.74659,
024,1.153892,0.328268,4.73510,0.74659,
024,1.145722,0.327348,4.73510,0.74659,
024,1.139864,0.325578,4.73510,0.74659,
025,1.111875,0.321072,5.58423,0.79117,
025,1.114959,0.317647,5.58423,0.79117,
025,1.118038,0.319601,5.58423,0.79117,
025,1.121703,0.319417,5.58423,0.79117,
026,1.107188,0.314980,4.09832,0.71243,
026,1.094430,0.314083,4.09832,0.71243,
026,1.084656,0.313968,4.09832,0.71243,
026,1.100400,0.316681,4.09832,0.71243,
027,1.078700,0.309738,5.93451,0.80006,
027,1.073819,0.309118,5.93451,0.80006,
027,1.082356,0.308520,5.93451,0.80006,
027,1.072955,0.309784,5.93451,0.80006,
028,1.059445,0.306612,5.50410,0.78536,
028,1.061298,0.306336,5.50410,0.78536,
028,1.047270,0.301048,5.50410,0.78536,
028,1.055809,0.303945,5.50410,0.78536,
029,1.030206,0.297255,5.00654,0.72658,
029,1.046214,0.300451,5.00654,0.72658,
029,1.049411,0.301393,5.00654,0.72658,
029,1.045514,0.303255,5.00654,0.72658,
030,1.028328,0.298749,3.94294,0.70428,
030,1.029675,0.294910,3.94294,0.70428,
030,1.034871,0.298588,3.94294,0.70428,
030,1.020459,0.297002,3.94294,0.70428,
031,1.010603,0.290013,4.77788,0.73576,
031,1.007930,0.292220,4.77788,0.73576,
031,1.020554,0.294128,4.77788,0.73576,
031,1.010336,0.293140,4.77788,0.73576,
032,1.002556,0.292542,4.47648,0.76471,
032,0.997044,0.288243,4.47648,0.76471,
032,0.998754,0.286542,4.47648,0.76471,
032,1.006984,0.290795,4.47648,0.76471,
033,0.983916,0.285806,6.18781,0.80324,
033,0.995479,0.287622,6.18781,0.80324,
033,0.979725,0.283047,6.18781,0.80324,
033,0.993634,0.288220,6.18781,0.80324,
034,0.983934,0.286358,5.72514,0.78705,
034,0.971872,0.282220,5.72514,0.78705,
034,0.972816,0.283576,5.72514,0.78705,
034,0.986447,0.283093,5.72514,0.78705,
