epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,4.094671,0.888254,7.47951,0.95839,
001,4.096441,0.892502,7.47951,0.95839,
001,4.099359,0.891341,7.47951,0.95839,
001,4.098860,0.891232,7.47951,0.95839,
002,3.222914,0.752464,4.46169,0.84975,
002,3.205258,0.749310,4.46169,0.84975,
002,3.208019,0.747493,4.46169,0.84975,
002,3.218701,0.751588,4.46169,0.84975,
003,2.812625,0.674375,4.84971,0.81495,
003,2.792401,0.671506,4.84971,0.81495,
003,2.799443,0.674287,4.84971,0.81495,
003,2.807433,0.672864,4.84971,0.81495,
004,2.558865,0.625805,6.12771,0.79936,
004,2.572316,0.632046,6.12771,0.79936,
004,2.565792,0.628783,6.12771,0.79936,
004,2.569672,0.627294,6.12771,0.79936,
005,2.411275,0.598038,5.88488,0.80723,
005,2.413161,0.599461,5.88488,0.80723,
005,2.408164,0.598432,5.88488,0.80723,
005,2.396617,0.595739,5.88488,0.80723,
006,2.276871,0.571388,5.33002,0.75791,
006,2.288401,0.575833,5.33002,0.75791,
006,2.287954,0.574914,5.33002,0.75791,
006,2.279770,0.571410,5.33002,0.75791,
007,2.184787,0.553607,10.28993,0.83492,
007,2.181710,0.550979,10.28993,0.83492,
007,2.193835,0.554110,10.28993,0.83492,
007,2.180386,0.553979,10.28993,0.83492,
008,2.101745,0.536307,9.14360,0.83901,
008,2.110220,0.539001,9.14360,0.83901,
008,2.104847,0.537030,9.14360,0.83901,
008,2.095830,0.533263,9.14360,0.83901,
009,2.021641,0.519336,5.27532,0.79831,
009,2.040416,0.525314,5.27532,0.79831,
009,2.035018,0.521854,5.27532,0.79831,
009,2.037916,0.522402,5.27532,0.79831,
010,1.975806,0.510905,4.27029,0.72946,
010,1.957417,0.505431,4.27029,0.72946,
010,1.967639,0.508978,4.27029,0.72946,
010,1.971944,0.509679,4.27029,0.72946,
011,1.913521,0.497131,4.36843,0.76789,
011,1.899541,0.492839,4.36843,0.76789,
011,1.910410,0.496102,4.36843,0.76789,
011,1.910085,0.495270,4.36843,0.76789,
012,1.859278,0.484496,4.20289,0.74172,
012,1.853894,0.481715,4.20289,0.74172,
012,1.838494,0.480379,4.20289,0.74172,
012,1.860686,0.483861,4.20289,0.74172,
013,1.806920,0.473306,4.66327,0.77046,
013,1.804135,0.473065,4.66327,0.77046,
013,1.795488,0.467000,4.66327,0.77046,
013,1.813426,0.474445,4.66327,0.77046,
014,1.754000,0.462051,5.85082,0.79831,
014,1.741573,0.458284,5.85082,0.79831,
014,1.751945,0.460890,5.85082,0.79831,
014,1.760494,0.463649,5.85082,0.79831,
015,1.708778,0.453204,5.00798,0.74731,
015,1.711449,0.453970,5.00798,0.74731,
015,1.688148,0.447510,5.00798,0.74731,
015,1.702886,0.449853,5.00798,0.74731,
016,1.661054,0.443788,5.57453,0.82524,
016,1.666595,0.443722,5.57453,0.82524,
016,1.663287,0.442036,5.57453,0.82524,
016,1.649083,0.436714,5.57453,0.82524,
017,1.618958,0.429948,5.30959,0.80300,
017,1.624505,0.435882,5.30959,0.80300,
017,1.609261,0.428349,5.30959,0.80300,
017,1.623063,0.432050,5.30959,0.80300,
018,1.592953,0.427386,4.72984,0.74913,
018,1.580764,0.422809,4.72984,0.74913,
018,1.590245,0.426138,4.72984,0.74913,
018,1.574042,0.420072,4.72984,0.74913,
019,1.559772,0.419327,4.06452,0.75851,
019,1.554378,0.417882,4.06452,0.75851,
019,1.540960,0.412605,4.06452,0.75851,
019,1.556753,0.418364,4.06452,0.75851,
020,1.526040,0.409583,4.77972,0.75927,
020,1.518033,0.407371,4.77972,0.75927,
020,1.529794,0.413612,4.77972,0.75927,
020,1.530623,0.411247,4.77972,0.75927,
021,1.494033,0.403101,4.80134,0.79119,
021,1.494528,0.403473,4.80134,0.79119,
021,1.499591,0.404634,4.80134,0.79119,
021,1.483008,0.402466,4.80134,0.79119,
022,1.457491,0.394123,4.49708,0.75079,
022,1.471294,0.397999,4.49708,0.75079,
022,1.466913,0.396115,4.49708,0.75079,
022,1.464717,0.395874,4.49708,0.75079,
023,1.448109,0.392568,5.55340,0.77410,
023,1.437086,0.388955,5.55340,0.77410,
023,1.433896,0.389787,5.55340,0.77410,
023,1.446203,0.392086,5.55340,0.77410,
024,1.402378,0.383042,5.82117,0.74822,
024,1.416565,0.383568,5.82117,0.74822,
024,1.418047,0.384356,5.82117,0.74822,
024,1.422276,0.386611,5.82117,0.74822,
025,1.376413,0.372575,4.21964,0.70359,
025,1.387438,0.377655,4.21964,0.70359,
025,1.388187,0.376626,4.21964,0.70359,
025,1.384181,0.379604,4.21964,0.70359,
026,0.776850,0.212456,2.83283,0.55576,
026,0.771252,0.211821,2.83283,0.55576,
026,0.768496,0.211602,2.83283,0.55576,
026,0.766555,0.208908,2.83283,0.55576,
027,0.626047,0.174944,3.18804,0.57407,
027,0.629254,0.175119,3.18804,0.57407,
027,0.626910,0.173805,3.18804,0.57407,
027,0.635906,0.177900,3.18804,0.57407,
