epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,3.741724,0.773450,6.61944,0.96243,
001,3.735093,0.772921,6.61944,0.96243,
001,3.738582,0.773629,6.61944,0.96243,
001,3.747365,0.774058,6.61944,0.96243,
002,1.865126,0.450426,7.21948,0.90661,
002,1.852824,0.448849,7.21948,0.90661,
002,1.860237,0.449708,7.21948,0.90661,
002,1.870067,0.452173,7.21948,0.90661,
003,1.255395,0.319979,5.80932,0.87607,
003,1.261422,0.319899,5.80932,0.87607,
003,1.268852,0.323103,5.80932,0.87607,
003,1.267890,0.322973,5.80932,0.87607,
004,0.997282,0.259606,6.55151,0.90595,
004,1.004077,0.261273,6.55151,0.90595,
004,1.008597,0.261732,6.55151,0.90595,
004,0.997082,0.260295,6.55151,0.90595,
005,0.869913,0.228866,5.45377,0.79147,
005,0.855432,0.224944,5.45377,0.79147,
005,0.862426,0.226321,5.45377,0.79147,
005,0.868430,0.227678,5.45377,0.79147,
006,0.784358,0.207917,7.52485,0.90332,
006,0.786151,0.207338,7.52485,0.90332,
006,0.775439,0.205461,7.52485,0.90332,
006,0.770381,0.204064,7.52485,0.90332,
007,0.728063,0.194093,6.44885,0.91628,
007,0.719115,0.190321,6.44885,0.91628,
007,0.713612,0.191019,6.44885,0.91628,
007,0.725364,0.192237,6.44885,0.91628,
008,0.670382,0.178713,6.45890,0.88047,
008,0.685552,0.183135,6.45890,0.88047,
008,0.682541,0.181069,6.45890,0.88047,
008,0.681079,0.182426,6.45890,0.88047,
009,0.642651,0.170419,6.24836,0.92221,
009,0.650493,0.173943,6.24836,0.92221,
009,0.650964,0.172635,6.24836,0.92221,
009,0.643482,0.172256,6.24836,0.92221,
010,0.611394,0.163373,6.37373,0.83410,
010,0.623349,0.165339,6.37373,0.83410,
010,0.622753,0.165509,6.37373,0.83410,
010,0.618102,0.165459,6.37373,0.83410,
011,0.602461,0.161207,5.65577,0.85168,
011,0.594096,0.159640,5.65577,0.85168,
011,0.592225,0.159780,5.65577,0.85168,
011,0.599862,0.161587,5.65577,0.85168,
012,0.584864,0.156157,6.04668,0.85256,
012,0.580773,0.156097,6.04668,0.85256,
012,0.575251,0.154810,6.04668,0.85256,
012,0.577424,0.155169,6.04668,0.85256,
013,0.554407,0.149001,5.94218,0.84707,
013,0.572151,0.153891,5.94218,0.84707,
013,0.560518,0.150787,5.94218,0.84707,
013,0.569346,0.153283,5.94218,0.84707,
014,0.546668,0.147095,5.68702,0.83344,
014,0.554037,0.149799,5.68702,0.83344,
014,0.555919,0.148692,5.68702,0.83344,
014,0.550351,0.148622,5.68702,0.83344,
015,0.545644,0.148262,6.38767,0.84751,
015,0.537859,0.144949,6.38767,0.84751,
015,0.544226,0.147334,6.38767,0.84751,
015,0.541219,0.145757,6.38767,0.84751,
016,0.530343,0.143701,6.37222,0.83586,
016,0.524907,0.142324,6.37222,0.83586,
016,0.534779,0.143512,6.37222,0.83586,
016,0.536365,0.145777,6.37222,0.83586,
017,0.531928,0.143691,5.37827,0.80949,
017,0.528952,0.143082,5.37827,0.80949,
017,0.520578,0.141246,5.37827,0.80949,
017,0.522131,0.141066,5.37827,0.80949,
018,0.520886,0.141206,6.11698,0.89123,
018,0.508424,0.136256,6.11698,0.89123,
018,0.519536,0.140238,6.11698,0.89123,
018,0.516266,0.139599,6.11698,0.89123,
019,0.514541,0.138631,6.51109,0.87629,
019,0.508213,0.137314,6.51109,0.87629,
019,0.518623,0.139509,6.51109,0.87629,
019,0.505079,0.135667,6.51109,0.87629,
020,0.504704,0.136825,5.49052,0.87541,
020,0.507350,0.137104,5.49052,0.87541,
020,0.511330,0.137134,5.49052,0.87541,
020,0.495604,0.134250,5.49052,0.87541,
021,0.505235,0.136904,5.20950,0.79697,
021,0.506053,0.136635,5.20950,0.79697,
021,0.497844,0.136206,5.20950,0.79697,
021,0.497026,0.134319,5.20950,0.79697,
022,0.499773,0.134369,5.92981,0.85959,
022,0.495329,0.134040,5.92981,0.85959,
022,0.495903,0.133361,5.92981,0.85959,
022,0.488473,0.131714,5.92981,0.85959,
023,0.483296,0.131126,5.85621,0.84817,
023,0.487948,0.132802,5.85621,0.84817,
023,0.497352,0.134279,5.85621,0.84817,
023,0.493905,0.133501,5.85621,0.84817,
024,0.493472,0.133541,4.74986,0.83762,
024,0.476993,0.128092,4.74986,0.83762,
024,0.484789,0.131475,4.74986,0.83762,
024,0.490040,0.132214,4.74986,0.83762,
025,0.486853,0.131994,5.42520,0.77368,
025,0.480187,0.130038,5.42520,0.77368,
025,0.485187,0.131375,5.42520,0.77368,
025,0.476427,0.129000,5.42520,0.77368,
