epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,3.770730,0.777043,6.99499,0.93804,
001,3.767595,0.774987,6.99499,0.93804,
001,3.775774,0.777731,6.99499,0.93804,
001,3.777792,0.776963,6.99499,0.93804,
002,1.926710,0.460077,6.01068,0.87585,
002,1.938105,0.464299,6.01068,0.87585,
002,1.937501,0.461934,6.01068,0.87585,
002,1.933300,0.461604,6.01068,0.87585,
003,1.305914,0.330110,7.01074,0.91738,
003,1.308529,0.328842,7.01074,0.91738,
003,1.298710,0.327345,7.01074,0.91738,
003,1.313488,0.330599,7.01074,0.91738,
004,1.054105,0.270974,5.92921,0.85190,
004,1.045120,0.268080,5.92921,0.85190,
004,1.056223,0.273260,5.92921,0.85190,
004,1.041167,0.268499,5.92921,0.85190,
005,0.906814,0.237310,6.33411,0.86179,
005,0.919670,0.238727,6.33411,0.86179,
005,0.910204,0.237220,6.33411,0.86179,
005,0.919578,0.240473,6.33411,0.86179,
006,0.832152,0.217328,6.58544,0.84223,
006,0.822285,0.215951,6.58544,0.84223,
006,0.825101,0.216909,6.58544,0.84223,
006,0.834875,0.218486,6.58544,0.84223,
007,0.761144,0.200930,6.63524,0.89255,
007,0.760912,0.200541,6.63524,0.89255,
007,0.768005,0.201719,6.63524,0.89255,
007,0.772716,0.203046,6.63524,0.89255,
008,0.721550,0.190051,6.19668,0.87343,
008,0.728610,0.192297,6.19668,0.87343,
008,0.719236,0.188684,6.19668,0.87343,
008,0.718507,0.190500,6.19668,0.87343,
009,0.696242,0.184911,5.70693,0.80993,
009,0.685350,0.181598,5.70693,0.80993,
009,0.681034,0.179981,5.70693,0.80993,
009,0.691800,0.183195,5.70693,0.80993,
010,0.668881,0.177935,5.87348,0.89848,
010,0.667016,0.176987,5.87348,0.89848,
010,0.659854,0.174941,5.87348,0.89848,
010,0.655811,0.175320,5.87348,0.89848,
011,0.635558,0.169401,5.71185,0.84926,
011,0.647843,0.172435,5.71185,0.84926,
011,0.642753,0.170449,5.71185,0.84926,
011,0.634302,0.168942,5.71185,0.84926,
012,0.622268,0.165279,5.97792,0.85717,
012,0.618308,0.163912,5.97792,0.85717,
012,0.620056,0.165649,5.97792,0.85717,
012,0.626904,0.166517,5.97792,0.85717,
013,0.603305,0.160499,5.55096,0.83081,
013,0.603188,0.161147,5.55096,0.83081,
013,0.610553,0.164950,5.55096,0.83081,
013,0.609951,0.161766,5.55096,0.83081,
014,0.595110,0.158353,5.30127,0.79235,
014,0.590723,0.156876,5.30127,0.79235,
014,0.597283,0.159521,5.30127,0.79235,
014,0.589249,0.157664,5.30127,0.79235,
015,0.582643,0.156137,5.93743,0.85630,
015,0.588897,0.157494,5.93743,0.85630,
015,0.578892,0.155149,5.93743,0.85630,
015,0.587089,0.157165,5.93743,0.85630,
016,0.569937,0.151636,6.07920,0.84179,
016,0.582514,0.155568,6.07920,0.84179,
016,0.572961,0.153832,6.07920,0.84179,
016,0.581895,0.155299,6.07920,0.84179,
017,0.571544,0.153632,5.80384,0.82312,
017,0.561902,0.150758,5.80384,0.82312,
017,0.564008,0.151366,5.80384,0.82312,
017,0.569719,0.152804,5.80384,0.82312,
018,0.562260,0.151017,5.80795,0.82751,
018,0.556342,0.149610,5.80795,0.82751,
018,0.559376,0.150508,5.80795,0.82751,
018,0.550918,0.148123,5.80795,0.82751,
019,0.554971,0.149510,6.37342,0.90661,
019,0.546229,0.147494,6.37342,0.90661,
019,0.547836,0.148173,6.37342,0.90661,
019,0.556144,0.150807,6.37342,0.90661,
020,0.538391,0.144240,6.11774,0.84641,
020,0.549528,0.146466,6.11774,0.84641,
020,0.553003,0.147853,6.11774,0.84641,
020,0.545447,0.145817,6.11774,0.84641,
021,0.533384,0.142164,6.23880,0.86860,
021,0.534440,0.143941,6.23880,0.86860,
021,0.549196,0.148372,6.23880,0.86860,
021,0.546650,0.146156,6.23880,0.86860,
022,0.533240,0.143542,6.79453,0.88662,
022,0.527269,0.142713,6.79453,0.88662,
022,0.539974,0.145278,6.79453,0.88662,
022,0.543925,0.146386,6.79453,0.88662,
023,0.534400,0.143222,7.42896,0.88222,
023,0.529961,0.143581,7.42896,0.88222,
023,0.536127,0.144200,7.42896,0.88222,
023,0.522666,0.140837,7.42896,0.88222,
024,0.527302,0.141505,6.13601,0.83300,
024,0.528295,0.143062,6.13601,0.83300,
024,0.520748,0.141166,6.13601,0.83300,
024,0.527210,0.142324,6.13601,0.83300,
025,0.529933,0.142543,6.68158,0.85739,
025,0.520287,0.140747,6.68158,0.85739,
025,0.521080,0.141655,6.68158,0.85739,
025,0.530409,0.142653,6.68158,0.85739,
026,0.518428,0.139370,6.26858,0.86377,
026,0.513888,0.138881,6.26858,0.86377,
026,0.522917,0.140048,6.26858,0.86377,
026,0.524525,0.141835,6.26858,0.86377,
027,0.513966,0.139280,7.22648,0.87783,
027,0.514262,0.138531,7.22648,0.87783,
027,0.522829,0.140897,7.22648,0.87783,
027,0.521287,0.140198,7.22648,0.87783,
028,0.517721,0.139489,6.16692,0.83366,
028,0.512952,0.138621,6.16692,0.83366,
028,0.506299,0.136725,6.16692,0.83366,
028,0.516318,0.138821,6.16692,0.83366,
029,0.503599,0.135876,6.41028,0.86684,
029,0.514754,0.138441,6.41028,0.86684,
029,0.512606,0.139420,6.41028,0.86684,
029,0.513982,0.138681,6.41028,0.86684,
030,0.513581,0.138132,6.06379,0.85102,
030,0.500796,0.134978,6.06379,0.85102,
030,0.512882,0.137823,6.06379,0.85102,
030,0.510321,0.137314,6.06379,0.85102,
031,0.510281,0.137883,6.94178,0.89189,
031,0.510371,0.138172,6.94178,0.89189,
031,0.509573,0.138701,6.94178,0.89189,
031,0.501696,0.135537,6.94178,0.89189,
032,0.505309,0.135966,6.22840,0.83696,
032,0.506770,0.136914,6.22840,0.83696,
032,0.497794,0.134998,6.22840,0.83696,
032,0.504263,0.136855,6.22840,0.83696,
033,0.503554,0.135637,5.13050,0.77082,
033,0.501516,0.135707,5.13050,0.77082,
033,0.505433,0.136655,5.13050,0.77082,
033,0.496342,0.133421,5.13050,0.77082,
034,0.494627,0.134200,6.71189,0.83740,
034,0.506897,0.137433,6.71189,0.83740,
034,0.499879,0.134729,6.71189,0.83740,
034,0.505526,0.136685,6.71189,0.83740,
035,0.494642,0.133281,6.06945,0.83059,
035,0.502616,0.136974,6.06945,0.83059,
035,0.501497,0.135507,6.06945,0.83059,
035,0.499777,0.135268,6.06945,0.83059,
036,0.494387,0.133222,6.91294,0.81762,
036,0.501310,0.134519,6.91294,0.81762,
036,0.491206,0.133082,6.91294,0.81762,
036,0.500900,0.135777,6.91294,0.81762,
037,0.497603,0.135158,10.34494,0.88069,
037,0.499621,0.134489,10.34494,0.88069,
037,0.496395,0.134160,10.34494,0.88069,
037,0.494394,0.133222,10.34494,0.88069,
038,0.488208,0.132673,5.43183,0.80598,
038,0.500088,0.133820,5.43183,0.80598,
038,0.494876,0.135327,5.43183,0.80598,
